Magnitude,Location,Latitude,Longitude,Depth (km),Date,EventId,Event URL
4.9,"24km NE of We, New Caledonia",-20.7399,167.4055,34.99,18-09-2012 10:15,usc000cr2p,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr2p
2.7,"18km SE of Emajagua, Puerto Rico",17.899,-65.74,13,18-09-2012 09:42,pr12262006,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262006
4.3,"14km SW of Samara, Costa Rica",9.8014,-85.6349,17.24,18-09-2012 09:10,usc000cr1d,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr1d
4.2,"20km SSW of Samara, Costa Rica",9.7264,-85.6216,14.44,18-09-2012 09:03,usc000cr1a,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr1a
4.5,"135km SW of Puerto El Triunfo, El Salvador",12.2677,-89.2503,35.42,18-09-2012 08:20,usc000cr0z,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0z
5.1,"143km SE of Sarangani, Philippines",4.4809,126.38,28.08,18-09-2012 08:05,usc000cr0u,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0u
2.5,"31km SW of Gold Beach, Oregon",42.2338,-124.7195,35.9,18-09-2012 07:08,uw60453102,http://earthquake.usgs.gov/earthquakes/eventpage/uw60453102
4.8,"241km S of Sidorukun, Indonesia",-10.7708,114.0331,39.33,18-09-2012 06:42,usc000cr0h,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0h
3,"67km N of San Juan, Puerto Rico",19.076,-66.146,50,18-09-2012 06:33,pr12262005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262005
3.4,"41km SE of Punta Cana, Dominican Republic",18.3581,-68.0887,109,18-09-2012 05:20,pr12262004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262004
3,"156km NNE of Road Town, British Virgin Islands",19.7826,-64.2344,38,18-09-2012 04:30,pr12262001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262001
2.6,"65km S of Larsen Bay, Alaska",56.9548,-154.1349,30.1,18-09-2012 04:14,ak10561291,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561291
4.7,"58km SW of Zonda, Argentina",-31.8963,-69.2027,64.59,18-09-2012 03:53,usc000cqzs,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqzs
4.8,"105km E of Raoul Island, New Zealand",-29.2155,-176.8201,58.12,18-09-2012 03:51,usc000cqzz,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqzz
2.6,"64km S of Larsen Bay, Alaska",56.9664,-154.1183,27.4,18-09-2012 03:26,ak10561285,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561285
5.2,"97km SSW of Biha, Indonesia",-6.1732,103.7882,10.01,18-09-2012 03:23,usc000cqzk,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqzk
3.4,"65km S of Larsen Bay, Alaska",56.9529,-154.1015,38.5,18-09-2012 01:52,ak10561263,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561263
5.1,"91km E of Bitung, Indonesia",1.4052,126.0026,22.25,18-09-2012 01:46,usc000cqz5,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqz5
5.1,"55km SSW of Larsen Bay, Alaska",56.9366,-154.142,38.6,18-09-2012 01:44,ak10561248,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561248
4.4,"204km SSW of Severo-Kuril'sk, Russia",49.0617,154.7698,80.12,18-09-2012 00:52,usc000cqyd,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqyd
2.5,"3km W of Puerto Real, Puerto Rico",18.0785,-67.2226,33,18-09-2012 00:20,pr12262000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262000
4.3,"28km ESE of Mengmeng, China",23.3343,100.0449,15.01,17-09-2012 23:28,usc000cqxm,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqxm
2.5,"28km N of Kernville, California",36.007,-118.4032,5.2,17-09-2012 23:20,ci15217225,http://earthquake.usgs.gov/earthquakes/eventpage/ci15217225
2.6,"52km ESE of Semisopochnoi Island, Alaska",51.7845,-179.6812,16.6,17-09-2012 21:21,ak10561000,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561000
2.5,"7km NW of El Sauzal, Mexico",31.9375,-116.7435,10,17-09-2012 21:18,ci15217201,http://earthquake.usgs.gov/earthquakes/eventpage/ci15217201
5,"41km ENE of Port-Olry, Vanuatu",-14.9021,167.409,146.89,17-09-2012 21:15,usa000f46i,http://earthquake.usgs.gov/earthquakes/eventpage/usa000f46i
2.8,"41km NE of Soledad, California",36.6437,-120.9488,9.6,17-09-2012 21:12,nc71843815,http://earthquake.usgs.gov/earthquakes/eventpage/nc71843815
2.6,"116km NW of Talkeetna, Alaska",63.0336,-151.7684,8.1,17-09-2012 20:26,ak10560971,http://earthquake.usgs.gov/earthquakes/eventpage/ak10560971
5.4,"18km S of Kimbe, Papua New Guinea",-5.7173,150.1193,92.68,17-09-2012 20:07,usc000cqr6,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqr6
3.1,"108km NNE of Atka, Alaska",53.0351,-173.3885,206.5,17-09-2012 19:29,ak10560943,http://earthquake.usgs.gov/earthquakes/eventpage/ak10560943
5,"22km NNE of Miyako, Japan",39.8082,142.0836,36.71,17-09-2012 19:09,usc000cqmw,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqmw
3.1,"76km NNW of San Antonio, Puerto Rico",19.0765,-67.4925,25,17-09-2012 16:18,pr12261005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12261005
4.6,Norwegian Sea,72.4718,2.7458,10,17-09-2012 16:08,us2012fqam,http://earthquake.usgs.gov/earthquakes/eventpage/us2012fqam
2.5,"100km N of Road Town, British Virgin Islands",19.3192,-64.7106,7,17-09-2012 15:44,pr12261006,http://earthquake.usgs.gov/earthquakes/eventpage/pr12261006
4.8,"245km S of Sidorukun, Indonesia",-10.7855,113.8118,12.2,17-09-2012 14:19,us2012fqak,http://earthquake.usgs.gov/earthquakes/eventpage/us2012fqak
